state,zip_code,zip_first_two_digits,school_type,school_level,rate_unemployment,percent_college,percent_married,median_income,percent_lunch,state_population,zip_first_two_digits_population,average_act
12,76023,76,1,2,-0.03514213113573431,-0.26921141910378316,0.23828112817972463,0.11102263373178689,-0.21258628202144697,2.1762978578422096,-0.08464830267922527,22.1062271062271
46,07871,07,1,2,-0.785790648234862,1.6439931970939328,1.2936460455723868,3.649002601321192,-1.6760058071828927,-0.4771283503154795,0.21887673999589094,19.6398046398046
20,65059,65,1,2,-1.4840475548258967,-0.45955680291677914,1.0767507954344906,0.4175709513776095,-0.46573022932640545,-0.8915691154626094,-1.3636301101233776,21.8376068376068
12,76578,76,1,2,0.6181035966031035,-0.2917536434811389,1.0603321021609318,0.27493823841694665,-0.680157032424644,2.1762978578422096,-0.08464830267922527,
33,60505,60,1,2,0.012515151127093109,-1.8259314372143525,0.12095751101957183,-0.38566114740988167,0.8716098697136182,-0.009887011950400744,1.7411233966969861,22.8388278388278
28,27295,27,1,2,0.5755115602993427,-0.59552904702275,-0.20819455146719926,-0.35786477810108464,-0.21761084697851135,-0.32056694067077024,0.02875848898236091,21.1782661782662
38,15627,15,1,2,-0.9959927488479758,-0.3105149766371522,-0.35929797430460375,-0.31280976754981066,-0.4471633832155036,0.01774422457800519,-0.9495642982840705,23.2295482295482
36,48021,48,1,2,0.21025566973255702,0.45898451021962,-1.7927625173394195,-0.6374879559239084,1.415940639853413,-0.37106353721446556,0.7801494521444513,
25,33441,33,1,2,1.575312199557964,-1.507249253326952,-1.8368183715926643,-0.9722060269438701,0.79385818072227,1.1603159277530588,2.462080044459979,21.3492063492064
46,08723,08,1,2,0.9493957535599167,-0.6881063442216477,0.2802223473313419,-0.3518491459372405,-0.6248419603267024,-0.4771283503154795,-0.23256704121357064,21.7399267399267
36,48085,48,1,2,-0.2815132289130879,1.9176515315520424,1.2516004895421236,2.2801351306588664,-1.2446962329802262,-0.37106353721446556,0.7801494521444513,20.8852258852259
37,45750,45,1,2,-0.12242955622874152,0.3368291072489188,0.7320681919923276,-0.4828654657539285,-0.2516615204217168,-0.14136509188157922,-0.4506681459243173,
31,37650,37,1,2,0.86969068641096,-1.3980114213490127,1.190805657887167,-0.9295987563765051,0.22820503292829536,-0.7889960260693394,0.06905753222575822,
43,01370,01,1,2,-0.4664643445084957,0.8622699010846018,0.3008962526931243,0.06298055065777651,-0.566396438755156,-0.7796761665821531,-0.5626699307327458,20.3235653235653
12,78520,78,1,2,-0.8342332469557782,0.661255874139464,-0.19981563804003796,-0.4581391432046106,2.3988140955065056,2.1762978578422096,1.2074376470471546,
33,62938,62,1,2,-0.48328292767598985,-0.16206912003909932,0.02121529390706708,-0.5375040006489817,0.15532595908106497,-0.009887011950400744,-1.2326537915368878,22.9120879120879
34,53120,53,1,2,-0.6768205483088773,0.22738863170259274,1.0293833725721762,0.842979863157318,-0.9704168774792585,-0.925829269877872,-0.5327765549398044,
26,30815,30,1,2,0.6542251476428781,-0.19802363920110164,0.019321287020205916,-0.15939040381259964,2.3047855916445337,-0.28329507984355945,1.4638865827582082,21.6910866910867
33,61071,61,1,2,1.1209001343857694,0.0697623504293294,-1.6493361374395954,-0.7813237953173401,0.44731853592348486,-0.009887011950400744,-1.1795249054752697,20.5433455433455
1,98591,98,1,2,-0.1042278292600184,-0.07690502145081907,0.46463744994836403,0.14139120437960692,-0.03969237431500239,-0.6828615566229926,0.8422531485921002,17.5396825396825
12,75203,75,1,2,1.1327983574019451,-1.2902806908655857,-1.392737081756762,-1.4076133342510713,0.891857735885161,2.1762978578422096,0.7438064486402346,22.8144078144078
12,76034,76,1,2,-1.038948382590938,1.8298703702090309,0.7572607922193986,2.742218655078839,-1.311304804453758,2.1762978578422096,-0.08464830267922527,
38,18322,18,1,2,0.6457310455767589,0.10067198132985561,0.0640045394552763,0.4708404113664086,-0.44731815671779124,0.01774422457800519,-1.080622954580524,18.6385836385836
34,54555,54,1,2,0.06005005933997108,0.10151922697207325,-0.18120669212589754,-0.478758241035166,-0.38132689343752657,-0.925829269877872,-0.960216500156801,20.4212454212454
25,33614,33,1,2,-0.309904419847981,-0.8547678415700676,0.005630703735524787,-0.5728925126197338,1.3584997384159243,1.1603159277530588,2.462080044459979,21.4468864468864
33,60622,60,1,2,-0.8560842490031538,2.2225428660014686,-0.3167414132088348,1.7583931300209095,2.237842087866481,-0.009887011950400744,1.7411233966969861,20.1526251526252
37,45227,45,1,2,0.10520158792328206,1.110042821095995,-0.058471522956913866,-0.6575677212156363,1.4364095575391485,-0.14136509188157922,-0.4506681459243173,18.3699633699634
12,75210,75,1,2,0.4165203932421114,-1.2071419477069092,-1.7689135776530265,-1.3437646590775807,1.2310018292577043,2.1762978578422096,0.7438064486402346,20.4700854700855
12,77498,77,1,2,-1.0990627314329846,1.268485534464992,1.3423068853922706,1.177490498585423,-1.0874147316905822,2.1762978578422096,1.5195746397353225,
38,16648,16,1,2,-1.5621481900964165,0.5017134931927425,0.385184200472424,-0.04127657780939798,-0.9137509372124822,0.01774422457800519,-1.4263053834646109,
26,30103,30,1,2,0.348640692418411,-0.6334406995299932,0.38619317807788556,-0.25763190011593,0.046827000328464465,-0.28329507984355945,1.4638865827582082,15.7814407814408
36,48073,48,1,2,-0.7853140320119469,1.3871805085976212,0.8704221106517008,0.018962718065786012,-0.9928041409776784,-0.37106353721446556,0.7801494521444513,19.5665445665446
28,27610,27,1,2,0.9892166690173072,0.04691204581979151,-1.3763614609427255,-0.6969804836684083,-0.4260484086165542,-0.32056694067077024,0.02875848898236091,
36,48623,48,1,2,-0.7971260199393863,0.553283909146741,0.4645441402014716,0.7290977232279928,-1.2660939378674954,-0.37106353721446556,0.7801494521444513,14.6825396825397
12,77373,77,1,2,-0.2990999786894302,1.1453001840742205,0.9226110388728086,1.5855577948859119,0.09997869717095005,2.1762978578422096,1.5195746397353225,19.2246642246642
38,15139,15,1,2,-0.6196408392048522,1.2437878552636243,0.8798631667207328,0.5302499648741659,-0.45601497816224296,0.01774422457800519,-0.9495642982840705,14.6336996336996
32,42101,42,1,2,-0.39491017132075895,-1.0665610499036968,-0.38028882822207977,-0.33579363112753235,0.3321175404754781,-1.1104486276321293,-1.5104865964576697,15.9035409035409
38,16858,16,1,2,-0.4719868605324184,-1.3651847698320698,0.22628923319680977,-0.1417168913864093,-0.4506902731972705,0.01774422457800519,-1.4263053834646109,19.5909645909646
